Symbol,log2fc
LOC111116704,0.0182266509070707
LOC111116714,0.0392013350985817
LOC111128804,0.0503604590206676
LOC111128797,0.0425794491105438
LOC111135990,0
LOC111122067,0.521034987781651
LOC111126618,-0.559354507454546
LOC111110283,-0.368869607152144
LOC111100816,NA
LOC111100827,0
LOC111111485,NA
LOC111109562,0
LOC111109571,-0.116896295988003
LOC111112015,0.0576051015470859
LOC111122283,-0.151695314300184
LOC111129213,-0.0121392117234469
LOC111126321,0.172532463160542
LOC111126328,0.0329760985901131
LOC111099195,0.0235475561919994
LOC111099191,0.00735002002343236
LOC111137309,0.036497615832305
LOC111102782,0
LOC111131398,-0.0378265407414273
LOC111102789,0
LOC111133771,-0.203519749692325
LOC111117050,-0.429210325238691
LOC111114913,-0.0337043557027644
LOC111115428,NA
LOC111114283,0
LOC111138500,0.0534254432650566
LOC111138517,0
LOC111099033,0.0942518029480635
LOC111138506,NA
LOC111102545,-0.268960722070526
LOC111131407,-0.152406848557872
LOC111114926,-0.0541173767793072
LOC111131411,0.00787582204685515
LOC111133877,-0.461266618332371
LOC111133904,NA
LOC111133832,NA
LOC111131419,NA
LOC111133852,NA
LOC111131426,NA
LOC111133935,NA
LOC111133804,NA
LOC111131436,NA
LOC111133927,NA
LOC111131438,-0.140370082143091
LOC111133916,NA
LOC111133841,NA
LOC111133962,NA
LOC111133946,NA
LOC111131448,0.0447239201009833
LOC111131458,-0.156267187209511
LOC111133824,-0.412609810971664
LOC111133861,NA
LOC111133815,-0.37233984499897
LOC111133897,0.0263932220596959
LOC111133955,NA
LOC111131491,-0.188754753728402
LOC111118736,NA
LOC111102855,NA
LOC111099722,0.0210544789714132
LOC111124829,0.0211412308427854
LOC111108643,1.3144822381039
LOC111110943,0.259735661623155
LOC111110954,NA
LOC111112965,-0.355234659438739
LOC111131148,-0.357667422162544
LOC111104157,NA
LOC111128427,0.779645185951104
LOC111128419,0.378761254030196
LOC111131506,0.0506981956933195
LOC111125267,-0.0454287153477507
LOC111135304,NA
LOC111135310,-0.70422388889798
LOC111125302,0.2351203734337
LOC111132726,NA
LOC111132711,NA
LOC111131511,0
LOC111132751,NA
LOC111132759,NA
LOC111132740,NA
LOC111131520,NA
LOC111136703,0.858838892161663
LOC111136692,0.179450901654881
LOC111133283,-0.100322863916563
LOC111131527,NA
LOC111122356,0.0127046906740957
LOC111100092,-0.06487641188801
LOC111100158,NA
LOC111100144,NA
LOC111100258,NA
LOC111100186,-0.376065185373837
LOC111100322,NA
LOC111100315,NA
LOC111100100,NA
LOC111100337,NA
LOC111100208,NA
LOC111131537,-0.546221544586773
LOC111131545,0.478121514637753
LOC111131553,NA
LOC111100219,0
LOC111100177,0.0496009593428586
LOC111105926,0.39828634944113
LOC111105935,NA
LOC111100340,0.105404594342311
LOC111105943,0.0231395917049874
LOC111100278,0.098634345663302
LOC111100332,NA
LOC111105951,-0.177933797633013
LOC111100135,-0.0279693048008384
LOC111100267,NA
LOC111100240,0.0443995209846786
LOC111103184,NA
LOC111114261,NA
LOC111118113,0.0235475561919994
LOC111105961,-0.14210614539053
LOC111100385,-0.304331769424147
LOC111103653,NA
LOC111115631,0.0235475561919994
LOC111105980,0.327498655485373
LOC111113127,NA
LOC111120407,-0.00857593059518912
LOC111122010,NA
LOC111122017,NA
LOC111122109,NA
LOC111122110,NA
LOC111099448,0
LOC111105988,NA
LOC111119734,NA
LOC111122823,-0.00438381825184059
LOC111101029,0.0132377677120249
LOC111130420,NA
LOC111106002,NA
LOC111119725,NA
LOC111114472,NA
LOC111120685,-0.368916267113197
LOC111120694,-0.020608421735841
LOC111118525,-0.0104434012755963
LOC111119541,0.00193963116099909
LOC111116013,NA
LOC111103080,0.0690353870764516
LOC111106011,NA
LOC111120900,NA
