"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111122224",14.5892710464868,-0.834810331477141,0.260206255341325,-2.24748759675288,0.0246088823795482,0.875745813307108,"not significant","phase2"
"LOC111122221",0.108374359867394,0.0225692511686982,0.104110445406639,0,1,NA,NA,"phase2"
"LOC111122223",6.26206922642889,-0.0660735310692263,0.176817629892401,0,1,1,"not significant","phase2"
"LOC111122219",9.59313847569686,0.50107356435682,0.27019675099836,0.929224957106698,0.352772516162816,1,"not significant","phase2"
"LOC111122222",9.86360065339895,-0.51118669395216,0.27125205112533,-0.962892973043294,0.335601236341204,1,"not significant","phase2"
"LOC111121234",5.447921451371,0.247301804641827,0.269405779069969,0,1,1,"not significant","phase2"
"LOC111119172",55.853729591114,-0.0949886504733506,0.16203926545845,0,1,1,"not significant","phase2"
"LOC111119170",13.4052000673261,-0.0529960638523326,0.254221536973088,0,1,1,"not significant","phase2"
"LOC111118300",94.2479637692503,-0.137657894337131,0.103877365993277,0,1,1,"not significant","phase2"
"LOC111122135",0.276740493552605,0.0957273786439998,0.157998957133858,0,1,NA,NA,"phase2"
"LOC111120759",1.76795625136955,0.309764428599242,0.270464791071204,0.220969348219186,0.825116299633229,1,"not significant","phase2"
"LOC111118461",0.840748175192223,0.0395298340125,0.138084715107302,0,NA,NA,NA,"phase2"
"LOC111121305",1.11272688778718,0.200407002993517,0.194573149497282,0,1,1,"not significant","phase2"
"LOC111119366",27.1866321913058,-0.173908930173796,0.236408204814844,0,1,1,"not significant","phase2"
"LOC111119415",0.851553182446794,-0.434640738504549,0.237835288535726,-0.776338699111144,0.437549029064538,NA,NA,"phase2"
"LOC111119410",75.0747326155053,0.0342722660426778,0.128869917097178,0,1,1,"not significant","phase2"
"LOC111119409",6.4801330063501,-0.0468982023585343,0.270733640792958,0,1,1,"not significant","phase2"
"LOC111122043",11.169046004148,0.331691779334409,0.237340353562198,0.344196754189971,0.73069832313024,1,"not significant","phase2"
"LOC111120164",10.183417797484,0.0316997149412074,0.280244955424483,0,1,1,"not significant","phase2"
"LOC111118915",1.60827869253058,-0.141107636185638,0.282368776381722,0,1,1,"not significant","phase2"
"LOC111120165",8.15764583008324,-0.496221246947629,0.266707022461542,-0.923189965810266,0.355908217036232,1,"not significant","phase2"
"LOC111118913",1.12356543760245,-0.679558809959277,0.27817763017342,-1.54418890437554,0.122542576034652,1,"not significant","phase2"
