"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111113210",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"LOC111106533",11,8,0,0,2,1,0,4,4,4,0,1,0,0,0
"LOC111124874",4,0,0,0,2,1,0,0,2,1,1,0,0,0,0
"LOC111105971",1,0,0,0,3,13,0,0,3,0,1,1,0,0,0
"LOC111114272",2,0,0,0,0,0,0,0,2,2,0,0,0,1,0
"LOC111118982",0,17,1,0,1,0,0,0,2,22,0,0,0,2,0
"LOC111132009",2,2,3,0,0,7,0,0,0,0,1,1,0,0,1
"LOC111106579",0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
"LOC111116948",13,1,0,0,0,0,0,0,0,0,0,0,0,14,0
"LOC111134351",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC111136934",0,5,1,0,1,0,0,1,0,0,1,1,0,4,0
"LOC111126049",2,9,0,0,1,0,1,2,5,1,4,1,0,0,0
"LOC111119661",0,2,0,0,0,1,0,0,0,2,1,0,0,36,0
"LOC111106652",2,0,0,1,4,1,1,1,1,0,0,0,0,3,0
"LOC111100735",0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
"LOC111100729",8,0,0,0,0,0,0,0,18,0,0,1,0,0,0
"LOC111135015",1153,970,204,96,884,304,361,103,1277,559,505,332,368,487,21
"LOC111135056",2,0,0,0,1,1,1,0,0,1,1,0,0,3,0
"LOC111109028",0,0,0,0,0,0,0,1,0,1,17,0,0,0,0
"LOC111109043",0,0,0,0,1,1,0,0,0,1,19,2,0,0,0
"LOC111109066",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"LOC111112404",6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"LOC111137338",4,6,1,1,1,1,1,0,0,0,1,1,0,3,0
"LOC111137368",0,0,0,0,1,12,0,0,0,0,0,0,0,2,0
"LOC111122782",1,2,0,0,0,0,1,0,0,1,0,0,0,0,0
"LOC111100940",1,1,0,0,46,0,0,0,0,3,6,0,0,3,0
"LOC111122301",2,1,0,0,2,0,0,0,1,8,1,1,0,2,0
"LOC111120028",0,0,0,2,5,2,0,0,0,5,2,11,0,7,0
"LOC111109497",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"LOC111118963",24,47,16,2,25,14,15,5,46,15,34,12,1,16,103
"LOC111137738",1,1,0,0,2,0,1,0,0,1,0,0,0,0,0
"LOC111137752",1,0,1,0,2,3,3,2,0,3,0,0,0,0,0
"LOC111137675",342,348,61,26,250,122,99,17,189,169,136,92,158,137,5
"LOC111104093",5,8,0,1,9,9,5,0,0,5,4,1,0,0,0
"LOC111104079",2,12,0,0,9,1,10,1,1,5,4,0,0,2,1
"LOC111106855",1,1,0,0,0,4,2,1,1,1,2,1,0,4,0
"LOC111107607",8,0,1,0,7,0,3,0,3,3,1,1,0,2,0
"LOC111102962",1,0,0,0,0,1,0,0,3,0,0,0,0,2,0
"LOC111104662",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"LOC111109105",1,2,0,1,0,0,3,1,5,0,1,0,0,0,0
"LOC111106737",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111111528",88,77,22,9,54,32,29,11,67,58,51,34,117,65,1
"LOC111114120",2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111124173",0,15,0,0,7,0,2,0,13,12,2,4,0,0,0
"LOC111113833",12,8,1,0,7,1,0,0,5,2,5,6,0,1,0
"LOC111115939",0,0,0,0,1,0,0,0,0,0,12,0,0,0,0
"LOC111131799",1,2,0,0,5,1,0,0,2,1,2,0,0,0,0
"LOC111101885",0,0,0,0,2,0,0,0,1,0,0,0,0,2,0
"LOC111124866",0,0,0,0,2,0,0,0,0,1,9,0,0,1,0
"LOC111103740",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"LOC111121467",0,2,1,1,12,0,1,0,6,4,1,0,0,10,0
"LOC111118643",1,1,0,0,1,0,0,0,0,0,8,0,0,0,0
"LOC111100381",10,6,0,1,3,0,1,0,1,1,4,5,0,8,0
"LOC111136736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111127822",0,2,0,0,0,0,0,0,0,1,7,0,0,0,0
"LOC111112008",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"LOC111134313",0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
"LOC111106816",0,23,0,0,0,0,8,0,8,3,1,0,0,12,0
"LOC111123744",13,3,0,0,12,0,1,0,1,3,3,1,0,0,0
"LOC111115959",4,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111114037",1,6,1,1,1,0,0,0,3,1,0,0,0,3,0
"LOC111115600",2,1,0,0,3,1,1,0,2,0,0,0,0,8,0
"LOC111138187",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"LOC111108200",4,0,0,0,5,0,2,0,1,0,1,0,0,5,0
"LOC111099109",4,8,0,0,3,1,5,0,7,2,3,2,0,0,0
"LOC111137235",1,0,0,0,0,0,1,0,1,0,0,0,0,3,0
"LOC111132880",0,0,0,2,5,0,0,0,0,0,0,0,0,1,0
"LOC111121092",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111126338",271,167,32,21,185,91,64,23,196,79,82,49,133,57,4
"LOC111130280",1,0,0,0,8,0,4,1,0,5,2,0,0,1,0
"LOC111128351",6,3,3,0,4,4,1,3,2,6,9,1,0,7,88
"LOC111108963",0,1,0,0,1,0,1,1,1,10,3,0,0,0,0
"LOC111106860",5,5,1,0,3,1,5,0,1,8,1,2,0,4,0
"LOC111105133",10,3,1,0,8,1,2,0,1,3,0,9,0,6,0
"LOC111109459",0,0,0,0,1,1,0,0,0,0,7,0,1,0,0
"LOC111125761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111136838",1,1,2,0,1,0,0,0,1,0,0,0,0,0,0
"LOC111119515",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"LOC111133395",0,0,0,0,1,0,0,1,17,6,0,0,0,0,0
