"gene_id","Gene.Ontology.IDs"
"LOC111133574","GO:0022607"
"LOC111133575","GO:0022607"
"LOC111133807","GO:0022607"
"LOC111133954","GO:0022607"
"LOC111134216","GO:0022607"
"LOC111134227","GO:0022607"
"LOC111134585","GO:0022607"
"LOC111134873","GO:0022607"
"LOC111135312","GO:0022607"
"LOC111135459","GO:0022607"
"LOC111135499","GO:0022607"
"LOC111135538","GO:0022607"
"LOC111135651","GO:0022607"
"LOC111135654","GO:0022607"
"LOC111135655","GO:0022607"
"LOC111135656","GO:0022607"
"LOC111135657","GO:0022607"
"LOC111135697","GO:0022607"
"LOC111135792","GO:0022607"
"LOC111136205","GO:0022607"
"LOC111136247","GO:0022607"
"LOC111136300","GO:0022607"
"LOC111136320","GO:0022607"
"LOC111136338","GO:0022607"
"LOC111137006","GO:0022607"
"LOC111137076","GO:0022607"
"LOC111137152","GO:0022607"
"LOC111137215","GO:0022607"
"LOC111137481","GO:0022607"
"LOC111102393","GO:0009451"
"LOC111105897","GO:0009451"
"LOC111106613","GO:0009451"
"LOC111107726","GO:0009451"
"LOC111107808","GO:0009451"
"LOC111108351","GO:0009451"
"LOC111108478","GO:0009451"
"LOC111108654","GO:0009451"
"LOC111108698","GO:0009451"
"LOC111111424","GO:0009451"
"LOC111113426","GO:0009451"
"LOC111114461","GO:0009451"
"LOC111114632","GO:0009451"
"LOC111114679","GO:0009451"
"LOC111118089","GO:0009451"
"LOC111118965","GO:0009451"
"LOC111119204","GO:0009451"
"LOC111119998","GO:0009451"
"LOC111120049","GO:0009451"
"LOC111120056","GO:0009451"
"LOC111120080","GO:0009451"
"LOC111121044","GO:0009451"
"LOC111121289","GO:0009451"
"LOC111124957","GO:0009451"
"LOC111124960","GO:0009451"
"LOC111125201","GO:0009451"
"LOC111126196","GO:0009451"
"LOC111127646","GO:0009451"
"LOC111127752","GO:0009451"
"LOC111128379","GO:0009451"
"LOC111129736","GO:0009451"
"LOC111130526","GO:0009451"
"LOC111133471","GO:0009451"
"LOC111135888","GO:0009451"
"LOC111136444","GO:0009451"
"LOC111138309","GO:0009451"
"LOC111099067","GO:0000463;GO:0000470"
"LOC111100238","GO:0000463;GO:0000470"
"LOC111100547","GO:0000463;GO:0000470"
"LOC111103351","GO:0000463;GO:0000470"
"LOC111103629","GO:0000463;GO:0000470"
"LOC111116966","GO:0000463;GO:0000470"
"LOC111125801","GO:0000463;GO:0000470"
"LOC111127437","GO:0000463;GO:0000470"
"LOC111134500","GO:0000463;GO:0000470"
"LOC111135912","GO:0000463;GO:0000470"
"LOC111137376","GO:0000463;GO:0000470"
"LOC111137679","GO:0000463;GO:0000470"
"LOC111136820","GO:0000463;GO:0000470"
"LOC111102393","GO:0002098;GO:0002097"
"LOC111108698","GO:0002098;GO:0002097"
"LOC111111424","GO:0002098;GO:0002097"
"LOC111113426","GO:0002098;GO:0002097"
"LOC111118089","GO:0002098;GO:0002097"
