"GO.IDs","GOslim","Term","gene_id"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111128424"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111134081"
"GO:0000132","GO:0000278;GO:0007010;GO:0007163","mitotic cell cycle;cytoskeleton organization;establishment or maintenance of cell polarity","LOC111115720"
"GO:0000132","GO:0000278;GO:0007010;GO:0007163","mitotic cell cycle;cytoskeleton organization;establishment or maintenance of cell polarity","LOC111121042"
"GO:0000132","GO:0000278;GO:0007010;GO:0007163","mitotic cell cycle;cytoskeleton organization;establishment or maintenance of cell polarity","LOC111132966"
"GO:0000132","GO:0000278;GO:0007010;GO:0007163","mitotic cell cycle;cytoskeleton organization;establishment or maintenance of cell polarity","LOC111119258"
"GO:0000132","GO:0000278;GO:0007010;GO:0007163","mitotic cell cycle;cytoskeleton organization;establishment or maintenance of cell polarity","LOC111134439"
"GO:0000165","GO:0023052","signaling","LOC111100697"
"GO:0000165","GO:0023052","signaling","LOC111102022"
"GO:0000165","GO:0023052","signaling","LOC111131704"
"GO:0000165","GO:0023052","signaling","LOC111120596"
"GO:0000165","GO:0023052","signaling","LOC111102023"
"GO:0000183","GO:0006325","chromatin organization","LOC111112464"
"GO:0000183","GO:0006325","chromatin organization","LOC111112663"
"GO:0000183","GO:0006325","chromatin organization","LOC111135651"
"GO:0000183","GO:0006325","chromatin organization","LOC111104383"
"GO:0000183","GO:0006325","chromatin organization","LOC111124334"
"GO:0000183","GO:0006325","chromatin organization","LOC111116302"
"GO:0000183","GO:0006325","chromatin organization","LOC111107333"
"GO:0000183","GO:0006325","chromatin organization","LOC111116373"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111130065"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111118849"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111108043"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111129219"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111138487"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111128793"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111135039"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111136887"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111130790"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111134286"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111101410"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111108106"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111125280"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111129063"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111131610"
"GO:0000184","GO:0016071","mRNA metabolic process","LOC111118848"
"GO:0000212","GO:0007010;GO:0022414","cytoskeleton organization;reproductive process","LOC111115784"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111135048"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111108484"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111134515"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111134651"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111128351"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111130661"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111106200"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129057"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129009"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111125930"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111108504"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129868"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129170"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111124958"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111108129"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111131267"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111128209"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111120014"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111135397"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111107418"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129056"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111112993"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111115795"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111112129"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111132123"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111130353"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111137504"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111112845"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111124669"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111137486"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111138031"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111125059"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111125273"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111119215"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111124265"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111120015"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111124561"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111119326"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111133627"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111131857"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111108598"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111113488"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111101010"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111138051"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111120360"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111129255"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111120365"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111134000"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111121357"
